source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
Ryan_2011,HD9920116,Al2017-T4,2.796,0.3175,0,6.9,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.4572,NP,0
Ryan_2011,HD0020241,Al2017-T4,2.796,0.3175,45,2.32,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.229,NP,0
Ryan_2011,HD0020154,Al2017-T4,2.796,0.3175,45,2.42,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.406,NP,0
Ryan_2011,HD0120055,Al2017-T4,2.796,0.3175,45,2.48,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.203,NP,0
Ryan_2011,HD0020112,Al2017-T4,2.796,0.3175,45,2.56,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.318,NP,0
Ryan_2011,HD0020194,Al2017-T4,2.796,0.3175,45,2.63,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.254,NP,0
Ryan_2011,HD0020048,Al2017-T4,2.796,0.3175,45,3,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.406,NP,0
Ryan_2011,HD0020050,Al2017-T4,2.796,0.3175,45,4.6,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.406,NP,0
Ryan_2011,HD0020152,Al2017-T4,2.796,0.3175,45,5.61,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.406,NP,0
Ryan_2011,HD0020121,Al2017-T4,2.796,0.3175,45,5.69,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.318,NP,0
Ryan_2011,HD0020051,Al2017-T4,2.796,0.3175,45,6,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.229,NP,0
Ryan_2011,HD0020010,Al2017-T4,2.796,0.3175,45,6.5,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.406,NP,0
Ryan_2011,HD0020122,Al2017-T4,2.796,0.3175,45,6.53,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.254,NP,0
Ryan_2011,HD0020047,Al2017-T4,2.796,0.3175,45,6.6,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.318,NP,0
Ryan_2011,HD0020053,Al2017-T4,2.796,0.3175,45,7.2,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.318,NP,0
Ryan_2011,HD0020242,Al2017-T4,2.796,0.3175,60,2.27,Al6061-T6,2.7,0.04732,5.08,AA6061-T6,2.7,40,0.18,NP,0
Ryan_2011,HD0020116,Al2017-T4,2.796,0.3175,60,2.37,Al6061-T6,2.7,0.04535,5.08,AA6061-T6,2.7,40,0.229,NP,0
Ryan_2011,HD0020171,Al2017-T4,2.796,0.3175,60,2.63,Al6061-T6,2.7,0.04536,5.08,AA6061-T6,2.7,40,0.203,NP,0
Ryan_2011,HD0020219,Al2017-T4,2.796,0.3175,60,2.67,Al6061-T6,2.7,0.0451,5.08,AA6061-T6,2.7,40,0.16,NP,0
