source,shotID,proj_diam,proj_mat,proj_density,proj_mass,angle,velocity,bumper_mat,bumper_thick,bumper_density,standoff,wall_mat,wall_thick,wall_density,wall_yield,code,result,perforated_class,spalled_class
-,-,cm,-,g/cm3,g,deg,km/s,-,cm,g/cm3,cm,-,cm,g/cm3,ksi,-,-,-,-
TP-2003-210788,A1868,0.953,Al 2017-T4,2.796,1.26892,0,7.1,Alclad 7075-T6,0.159,2.78,30.48,Al 6061-T6,0.318,2.713,36,F3,NP,0,0
TP-2003-210788,A86/1,0.953,Al 2017-T4,2.796,1.26892,0,6.65,Alclad 7075-T6,0.159,2.78,30.48,Al 2024-T351,0.635,2.796,47,D1,NP,0,0
TP-2003-210788,A1917,0.34,Al 2017-T4,2.796,0.05747,20,3.55,Alclad 7075-T6,0.151,2.78,23.57,Alclad 7075-T6,0.286,2.78,47,D2,NP,0,0
TP-2003-210788,A1899,0.953,Al 2017-T4,2.796,1.26892,0,6.83,Alclad 7075-T6,0.159,2.78,15.24,Al 2024-T351,0.635,2.796,47,D3,SP,0,1
TP-2003-210788,A1875,0.953,Al 2017-T4,2.796,1.26892,0,6.75,Alclad 7075-T6,0.159,2.78,30.48,Al 6061-T6,0.318,2.713,36,F3,NP,0,0
TP-2003-210788,A86/3,0.953,Al 2017-T4,2.796,1.26892,0,6.65,Alclad 7075-T6,0.159,2.78,30.48,Al 2024-T3,0.229,2.796,47,F4,P,1,0
TP-2003-210788,A86/4,0.953,Al 2017-T4,2.796,1.26892,0,6.4,Alclad 7075-T6,0.483,2.78,30.48,Al 2024-T3,0.229,2.796,47,E4,P,1,0
TP-2003-210788,A1918,0.953,Al 2017-T4,2.796,1.26892,0,6.83,Alclad 7075-T6,0.159,2.78,38.1,Al 2024-T3,0.318,2.796,47,E2,NP,0,0
TP-2003-210788,A86/2,0.953,Al 2017-T4,2.796,1.26892,0,6.64,Alclad 7075-T6,0.318,2.78,30.48,Al 2024-T3,0.229,2.796,47,F2,NP,0,0
TP-2003-210788,A86/5,0.953,Al 2017-T4,2.796,1.26892,0,6.47,Alclad 7075-T6,0.159,2.78,30.48,Al 2024-T3,0.318,2.796,47,F4,P,1,0
TP-2003-210788,A1913,1.27,Al 2017-T4,2.796,3.00309,0,6.71,Alclad 7075-T6,0.318,2.78,50.8,Al 6061-T6,0.483,2.713,36,F2/D2,NP,0,0
TP-2003-210788,A1921,1.27,Al 2017-T4,2.796,3.00309,0,6.8,Alclad 7075-T6,0.159,2.78,22.86,Al 2024-T351,0.635,2.796,47,D3,SP,0,1
TP-2003-210788,A1907,1.27,Al 2017-T4,2.796,3.00309,0,6.53,Alclad 7075-T6,0.318,2.78,50.8,Al 2024-T351,0.483,2.796,47,E4,P,1,0
TP-2003-210788,MD28,1.908,Al 99.9%,2.78,9.81968,0,7.08,Alclad 7075-T6,0.406,2.78,57.15,Al 2024-T351,0.968,2.796,47,E2,NP,0,0
