source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
CR-4343,EHSS6B,AA1100-O,2.71,0.795,0,6.63,AA6061-T6,2.7,0.16,10.16,AA5456-H116,2.66,37,0.318,P,1
CR-4343,001A,AA1100-O,2.71,0.795,45,6.62,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.318,P,1
Piekutowski_CR-4707,4-1360,AA2017-T4,2.8,0.935,0,6.62,AA6061-T6,2.7,0.046,37.8,AA6061-T651,2.7,40,0.635,P,1
AFML-TR-70-135,24,AA2017-T4,2.8,0.318,0,6.61,AA6061-T6,2.7,0.0794,5.08,AA6061-T6,2.7,40,0.16,NP,0
CR-915,D-0977,AA2017-T4,2.8,0.318,0,6.61,AA1100-O,2.71,0.064,5.08,AA7075-T6,2.8,73,0.635,NP,0
CR-915,D-1236,AA2017-T4,2.8,0.318,0,6.61,AA1100-O,2.71,0.064,5.08,AA7075-T6,2.8,73,1.27,NP,0
ESA-HIT,EMI-4319,AA2017-T4,2.8,0.55,0,6.61,AA2017-T4,2.8,0.1,20,AA2017-T4,2.8,40,0.3,NP,0
AFML-TR-67-324,2061,AA2017-T4,2.8,0.318,0,6.61,AA6061-T6,2.7,0.084,2.54,AA6061-T6,2.7,40,0.218,P,1
AFML-TR-67-324,2101,AA2017-T4,2.8,0.318,0,6.6,AA6061-T6,2.7,0.038,1.27,AA6061-T6,2.7,40,0.648,NP,0
Ryan_2011,HD9920151,AA2017-T4,2.8,0.3175,0,6.6,AA6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.4064,NP,0
Ryan_2011,HD0020047,AA2017-T4,2.8,0.3175,45,6.6,AA6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.318,NP,0
CR-4343,EHSS7A,AA1100-O,2.71,0.795,45,6.6,AA6061-T6,2.7,0.16,10.16,AA5456-H116,2.66,37,0.318,P,1
ELC_87-163,A151,AA1100-O,2.71,0.317,0,6.6,AA6061-T6,2.7,0.081,5.08,AA2024-T3,2.77,50,0.127,P,1
ESA-HIT,EMI-3445,AA99.9%,2.7,0.3,0,6.6,AA2219-T851,2.84,0.1,10,AA2219-T851,2.84,51,0.1,P,1
